ア,a,アク,ak
アイ,ay,アス,as
アジ,azi,アッタ,atta
アデル,adel,アン,an
アネ,ane,イガ,ig
アバ,aba,イヌ,inne
アフ,af,イン,in
アヘ,ahe,ウガ,ug
アマ,ama,ウン,un
アラ,ara,エス,es
アリ,ali,エイス,eth
アル,al,エッタ,etta
アレ,are,エン,en
アレク,alec,オード,ord
アロ,arro,オス,os
イ,i,オズ,oz
イオ,io,オッタ,otta
イシュ,ish,オン,on
イフ,if,ガ,ga
イブ,iv,ガー,gar
イル,il,ガス,gas
イロ,ir,カス,cas
ウ,u,ガン,gan
ウバ,ub,ギ,gy
ウラ,ur,ギス,gis
ウラ,ula,ギスタン,gistan
ウリ,uli,ギン,gin
ウル,ul,ケイロ,keyro
エ,e,ゲス,gues
エイ,ey,ゲン,guen
エイミ,eym,コ,co
エド,edo,コード,cord
エバ,eva,ゴス,goth
エボ,evo,コルド,cold
エラ,era,コリー,cory
エリ,eli,コール,cole
エリス,elis,サ,sa
エロ,ero,ザ,za
オ,o,サー,sar
オイ,oy,ザード,zard
オグ,og,サード,sard
オス,os,ザス,zas
オズ,oz,サミー,sammy
オゾ,ozo,ザスタン,zastan
オディ,ody,サンダー,thandla
オベ,obe,サンド,sand
オミ,omi,シーク,seek
オル,ol,シエラ,sierra
カ,ka,シエル,siel
ガ,ga,ジス,ziss
カイ,kay,シド,sid
カザ,casa,シャ,sha
カザ,cas,シャーク,shark
カス,kas,シャス,siss
カズ,kaz,シャック,shack
カバ,kab,シュ,shy
カフ,caf,ス,s
カブ,cav,スケ,suk
カンザ,kanz,ズス,zess
ガンダ,ganda,ゼ,z
キ,ky,ゼス,cess
ギ,gy,ソー,sor
ギコ,gik,ソーク,sorc
キザ,kiz,ソード,sord
ギザ,giz,ゾフ,zof
キス,kis,ソニー,sony
ギズ,gis,タ,ta
ク,cu,ダー,dar
グ,gu,タン,tan
クタ,kut,ダオス,daos
クフ,kuf,ダオラ,daora
ケ,ke,ダス,deth
ゲ,ge,ダス,dath
ケフ,kef,タマ,tam
コ,kor,タリ,tali
コ,cor,ダルク,dark
ゴ,go,ダン,dan
コフ,kof,チス,tis
コブ,kov,チン,tin
コル,kor,ッカ,kka
ゴル,gor,ッカー,decker
ゴルァ,gorra,ッカー,cker
サ,sa,ツェン,tuen
ザ,za,ッコ,kor
サイ,say,ッタ,tta
サジ,sazi,ッチ,ty
サマ,sama,ッテイ,tty
サモ,samo,ット,to
サル,sar,ットー,tto
シ,si,デン,den
ジ,zi,デア,dear
シャ,sha,ディ,dey
シュ,shu,ティス,cis
ショ,sho,ディス,dis
ジル,jil,ディン,din
ス,su,デオス,deos
ズ,zu,デスタン,destan
セ,se,デリア,delia
ゼ,ze,テン,ten
セイ,sey,ト,tor
セイ,say,ド,dor
セサ,sesa,ドー,dorre
セス,ces,トリ,toli
セズ,sez,ドン,don
セモ,sem,ナ,na
セル,ser,ナーツ,nart
セロ,cero,ナート,nert
ソ,so,ナード,nerd
ソラ,sor,ナイル,nail
ソイ,soy,ナス,nas
ダ,da,ナック,nakk
タイ,ti,ナフ,naf
タラ,tar,ナルク,narc
タム,tam,ナルド,nald
ダイ,die,ナン,nan
タオ,tao,ニー,ny
ダル,dar,ニック,nick
チ,chi,ネ,ne
チャ,cha,ネイル,nail
チュ,chur,ネード,ned
チョ,chor,ネコ,neck
ツ,tur,ネス,nes
ヅ,dur,ネック,nack
テ,te,ネル,nel
デイ,dey,ノ,no
デル,del,ノア,noir
テオ,teo,ノー,nor
ト,to,ノーツ,nert
ド,do,ノート,nort
トド,tod,ノード,nord
トミ,tomy,ノック,nock
トム,tom,ノフ,nof
トル,tol,ノルド,nold
ナ,na,ノン,non
ナゴ,nag,バ,by
ナス,nas,バーグ,berg
ナゾ,naz,ハーツ,hert
ナバ,nab,ハート,hart
ナル,nar,バード,bird
ニ,ni,ハード,hard
ニコ,nico,ハエラ,hael
ニス,nis,ハエル,heal
ヌ,nu,ハック,hack
ネ,ne,ハド,had
ネル,nel,バモス,vamos
ネビ,nebi,ハルト,halt
ネロ,nero,バルド,bald
ノ,no,バン,ban
ノロ,nor,パン,pan
ハ,ha,ハン,han
バ,ba,ビア,via
パ,pa,ビー,vy
ハイ,hay,ビス,vis
ヒ,hi,ビット,bit
ビ,bi,ヒモス,hymos
ピ,pi,ピン,pin
フ,fu,ビン,vin
ブ,vu,ファー,far
プ,pu,ファラ,fael
ファ,fa,ファウス,fous
フィ,fy,ファス,fas
フェ,fey,フィー,fy
フォ,for,フィス,fis
フリオ,fleo,フーガ,fuga
フレア,flea,フェス,fess
フレイ,frey,フォー,for
フレオ,frea,フォン,fon
ヘ,he,フォース,forse
ヘス,hes,フォード,ford
