ア,アク
アイ,アス
アジ,アッタ
アデル,アン
アネ,イガ
アバ,イヌ
アフ,イン
アヘ,ウガ
アマ,ウン
アラ,エス
アリ,エイス
アル,エッタ
アレ,エン
アレク,オード
アロ,オス
イ,オズ
イオ,オッタ
イシュ,オン
イフ,ガ
イブ,ガー
イル,ガス
イロ,カス
ウ,ガン
ウバ,ギ
ウラ,ギス
ウラ,ギスタン
ウリ,ギン
ウル,ケイロ
エ,ゲス
エイ,ゲン
エイミ,コ
エド,コード
エバ,ゴス
エボ,コルド
エラ,コリー
エリ,コール
エリス,サ
エロ,ザ
オ,サー
オイ,ザード
オグ,サード
オス,ザス
オズ,サミー
オゾ,ザスタン
オディ,サンダー
オベ,サンド
オミ,シーク
オル,シエラ
カ,シエル
ガ,ジス
カイ,シド
カザ,シャ
カザ,シャーク
カス,シャス
カズ,シャック
カバ,シュ
カフ,ス
カブ,スケ
カンザ,ズス
ガンダ,ゼ
キ,ゼス
ギ,ソー
ギコ,ソーク
キザ,ソード
ギザ,ゾフ
キス,ソニー
ギズ,タ
ク,ダー
グ,タン
クタ,ダオス
クフ,ダオラ
ケ,ダス
ゲ,ダス
ケフ,タマ
コ,タリ
コ,ダルク
ゴ,ダン
コフ,チス
コブ,チン
コル,ッカ
ゴル,ッカー
ゴルァ,ッカー
サ,ツェン
ザ,ッコ
サイ,ッタ
サジ,ッチ
サマ,ッテイ
サモ,ット
サル,ットー
シ,デン
ジ,デア
シャ,ディ
シュ,ティス
ショ,ディス
ジル,ディン
ス,デオス
ズ,デスタン
セ,デリア
ゼ,テン
セイ,ト
セイ,ド
セサ,ドー
セス,トリ
セズ,ドン
セモ,ナ
セル,ナーツ
セロ,ナート
ソ,ナード
ソラ,ナイル
ソイ,ナス
ダ,ナック
タイ,ナフ
タラ,ナルク
タム,ナルド
ダイ,ナン
タオ,ニー
ダル,ニック
チ,ネ
チャ,ネイル
チュ,ネード
チョ,ネコ
ツ,ネス
ヅ,ネック
テ,ネル
デイ,ノ
デル,ノア
テオ,ノー
ト,ノーツ
ド,ノート
トド,ノード
トミ,ノック
トム,ノフ
トル,ノルド
ナ,ノン
ナゴ,バ
ナス,バーグ
ナゾ,ハーツ
ナバ,ハート
ナル,バード
ニ,ハード
ニコ,ハエラ
ニス,ハエル
ヌ,ハック
ネ,ハド
ネル,バモス
ネビ,ハルト
ネロ,バルド
ノ,バン
ノロ,パン
ハ,ハン
バ,ビア
パ,ビー
ハイ,ビス
ヒ,ビット
ビ,ヒモス
ピ,ピン
フ,ビン
ブ,ファー
プ,ファラ
ファ,ファウス
フィ,ファス
フェ,フィー
フォ,フィス
フリオ,フーガ
フレア,フェス
フレイ,フォー
フレオ,フォン
ヘ,フォース
ヘス,フォード
ペ,フォス
ヘル,フック
ベル,ベア
ホ,ベス
ボ,ベック
ポ,ベット
マ,ヘド
ミ,ベルク
ミシ,ベルト
ミシェ,ボー
ミシャ,ホーク
ミシュ,ホース
ム,ボス
メ,ポン
モ,ポンド
モナ,ミー
ヤ,ミス
ユ,ミア
ヨ,ミック
ラ,ム
ライ,ムー
ライア,ムス
ライオ,メス
ラザ,モック
リ,モフ
ル,ヤ
レ,ヤス
レオ,ヤン
レバ,ユン
ロ,ヨン
ログ,ラ
ロシ,ラーガ
ロバ,ラード
ロベ,ライス
ワ,ライ
ワグ,ラグ
ワイ,ラス
,ラック
,ラッタ
,ラナ
,ラフ
,ラルク
,ラルド
,リ
,リア
,リーン
,リーツ
,リス
,リズ
,リック
,リッタ
,ル
,ルー
,ルイン
,ルート
,ルス
,ルッタ
,レ
,レア
,レイ
,レー
,レス
,レズ
,レッタ
,レル
,ロ
,ロア
,ロイ
,ロー
,ローグ
,ローツ
,ロート
,ロード
,ログ
,ロス
,ロズ
,ロック
,ロッタ
,ロット
,ロナ
,ロフ
,ロン
,ロンド
,ワー
,ワーツ
,ワート
,ワード
,ン
,ンガ
,ンコ
,ンゴ
,ンソー
,ンダ
,ンナ
,ンバ

